Tr.,MFG,KV,MVA,Age,Year Test,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TCG,TEMP,WATER,year_num,R1,R2,R3,R4,R5,Duval_Total,IRM_fault,DRM_fault,RRM_fault,DTM_fault,DPM_fault,fault_majority_vote,faults_index
6.0,MITSUBISHI,115/22,50,25,2023,3360,47950,3055.0,57.0,55.0,71,20.0,2.0,237.0,15.0,147.0,584.0,36,17,8,1.290909090909091,10.0,0.28169014084507044,11.85,0.008438818565400843,93.0,F1,Uncertain,Uncertain,T1,T3,F1,2
6.0,MITSUBISHI,115/22,50,25,2024,7390,50440,4316.0,59.0,24.0,66,20.0,2.0,217.0,16.0,161.0,545.0,60,22,9,2.75,10.0,0.30303030303030304,10.85,0.009216589861751152,88.0,F1,Uncertain,Uncertain,T1,T3,F1,2
7.0,EBG,115/22,50,17,2023,6600,69760,2652.0,648.0,31.0,4,20.0,35.0,2.0,6.0,3.0,694.0,42,11,8,0.12903225806451613,0.5714285714285714,5.0,0.1,17.5,59.0,Uncertain,Uncertain,D2,Uncertain,PD,D2,1
7.0,EBG,115/22,50,17,2022,6570,79950,1400.0,20.0,25.0,15,20.0,35.0,2.0,56.0,3.0,121.0,40,13,7,0.6,0.5714285714285714,1.3333333333333333,0.1,17.5,70.0,Uncertain,Uncertain,D2,D1,PD,D2,1
7.0,EBG,115/22,50,17,2024,6830,60910,3874.0,764.0,24.0,5,20.0,35.0,2.0,7.0,4.0,806.0,42,10,9,0.20833333333333334,0.5714285714285714,4.0,0.1,17.5,60.0,Uncertain,Uncertain,D2,Uncertain,PD,D2,1
7.0,EBG,115/22,50,17,2020,10147,61062,3329.0,1066.0,25.0,4,20.0,35.0,55.0,25.0,37.0,1095.0,48,8,5,0.16,0.5714285714285714,5.0,2.75,0.6363636363636364,59.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
7.0,EBG,115/22,50,17,2021,2934,61432,4065.0,1338.0,17.0,10,20.0,35.0,55.0,25.0,37.0,1365.0,60,11,6,0.5882352941176471,0.5714285714285714,2.0,2.75,0.6363636363636364,65.0,F1,Uncertain,Uncertain,Uncertain,Uncertain,F1,2
8.0,FUJI,115/22,50,26,2019,7531,30963,762.0,112.0,18.0,60,20.0,3.0,11.0,25.0,6.0,150.0,52,10,4,3.3333333333333335,6.666666666666667,0.3333333333333333,0.55,0.2727272727272727,83.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
8.0,FUJI,115/22,50,26,2020,3178,23009,812.0,120.0,37.0,11,20.0,35.0,29.0,25.0,37.0,197.0,47,11,5,0.2972972972972973,0.5714285714285714,1.8181818181818181,1.45,1.206896551724138,66.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
8.0,FUJI,115/22,50,26,2021,7385,37012,818.0,119.0,33.0,5,20.0,35.0,16.0,25.0,13.0,186.0,40,49,6,0.15151515151515152,0.5714285714285714,4.0,0.8,2.1875,60.0,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,7
8.0,FUJI,115/22,50,26,2022,5856,41763,1198.0,78.0,40.0,19,20.0,1.0,47.0,10.0,30.0,225.0,49,7,7,0.475,20.0,1.0526315789473684,2.35,0.02127659574468085,40.0,F1,Uncertain,Uncertain,PD,Uncertain,F1,2
8.0,FUJI,115/22,50,26,2023,9299,31295,1147.0,113.0,31.0,26,20.0,6.0,53.0,4.0,15.0,248.0,56,10,8,0.8387096774193549,3.3333333333333335,0.7692307692307693,2.65,0.11320754716981132,52.0,F1,Uncertain,Uncertain,PD,T3,F1,2
